PARCEL ID,PARCEL ZIP CODE,Shape__Area
010050001,84010,500.05859375
010050004,84010,21.87109375
010050006,84010,1087.9765625
010050008,84010,687.59765625
010050016,84010,2340.125
010050018,84010,4492.12890625
010050021,84010,5204.13671875
010050024,84010,8699.87890625
010050029,84010,328.94921875
010050033,84010,4265.55078125
010050041,84010,3602.10546875
010050045,84010,2140.515625
010050046,84010,4032.375
010060801,84010,1596.34765625
010060802,84010,53.703125
010060803,84010,2.11328125
010060804,84010,1646.96484375
010060805,84010,1588.53125
010060806,84010,1667.1015625
010060808,84010,1606.37890625
010060809,84010,1549.0703125
010060810,84010,1654.2421875
010060811,84010,1653.59765625
010060813,84010,2094.8203125
010060814,84010,1688.25390625
010060815,84010,1678.4453125
010060816,84010,1707.2578125
010060817,84010,1848.08984375
010060818,84010,1713.9140625
010060901,84010,2015.7265625
010060902,84010,1878.1015625
010060903,84010,1585.5546875
010060904,84010,1577.3125
010060905,84010,1584.26171875
010060906,84010,1578.6640625
010060907,84010,1565.19140625
010060908,84010,1504.515625
010060909,84010,1410.12109375
010060910,84010,1338.9921875
010060911,84010,1301.5
010060912,84010,1472.734375
010060913,84010,1286.0625
010060914,84010,1704.00390625
010060915,84010,1726.87890625
010060916,84010,1430.23828125
010060917,84010,2389.22265625
010060918,84010,2326.72265625
010060919,84010,2537.203125
010060920,84010,1710.78125
010060921,84010,1477.1953125
010060922,84010,1582.375
010060923,84010,1823.9609375
010060924,84010,2363.94140625
010060926,84010,4030.71484375
010060928,84010,1672.53125
010060929,84010,1608.37890625
010060930,84010,1561.69140625
010060931,84010,1611.015625
010060932,84010,1910.66015625
010060933,84010,1565.5
010060934,84010,1769.6171875
010060937,84010,1788.1953125
010060938,84010,172.69140625
010060939,84010,6480.33984375
010060940,84010,1960.671875
010060941,84010,260.359375
010080404,84010,3472.3828125
010080407,84010,3475.38671875
010080408,84010,3459.33203125
010080409,84010,3350.12890625
010080410,84010,3363.05859375
010080411,84010,3229.01953125
